LOCATIONS,MONTH,FUEL/DIESEL,CEO'S EXPENSES,BANK CHARGES ,MISCELLANEOUS ,SALARIES,IMPREST,REPAIRS,COMPUTER/ INT EXP.,ELECT/UTIL,RENT,SANITATION,INCEN/BONUS,TRANSPORT,OFF SUP/EQPM.,ADVERT.,TOTAL
ULI,JANUARY,0,0,0,0,0,"15,000",0,0,0,"100,000",0,0,0,0,0,"115,000"
ULI,FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULI,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OANDO,JANUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OANDO,FEBRUARY,0,0,0,0,0,0,0,0,"2,800","240,000",0,0,0,0,0,"242,800"
OANDO,MARCH,0,0,0,0,0,0,0,0,"2,600",0,0,0,0,0,0,"2,600"
OKO,JANUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKO,FEBRUARY,0,0,0,0,0,"14,000",0,0,0,0,0,0,0,0,0,"14,000"
OKO,MARCH,0,0,0,0,0,"5,500",0,0,0,0,0,0,0,0,0,"5,500"
UNIZIK 1,JANUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIZIK 1,FEBRUARY,0,0,0,0,0,0,"369,000",0,0,,"4,000",,,,,"373,000"
UNIZIK 1,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULAKWOR,JANUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULAKWOR,FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULAKWOR,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGBARIAM,JANUARY,0,0,0,0,0,0,0,0,0,"100,000",0,0,0,0,0,"100,000"
IGBARIAM,FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGBARIAM,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVAN 2,JANUARY,0,0,0,0,0,"14,500",0,0,0,0,0,0,0,0,0,"14,500"
ALVAN 2,FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVAN 2,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESUT,JANUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESUT,FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESUT,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMUAGWO,JANUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMUAGWO,FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMUAGWO,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAD OFFICE,JANUARY,"251,000",0,"58,211.35","758,050",0,0,0,0,0,0,0,0,0,0,0,"1,067,261.35"
HEAD OFFICE,FEBRUARY,"150,000","154,500","106,307.80","333,700","5,002,356",0,"6,000",0,"80,000",0,0,0,0,0,0,"5,832,864"
HEAD OFFICE,MARCH,"64,000","158,700","142,062.58","237,150","715,356",0,0,0,0,0,0,0,0,0,0,"1,317,269"
