Action,SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
Product stock history,121266,VTU,,VTU,OWERRI 2 CONNECT / LITE,₦ 1.000 View group prices,"1,473,800.0 UNIT(S)","₦ 1,422,217.000","₦ 1,473,800.000","₦ 51,583.000","46,472,200.0 UNIT(S)","500,000.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,121266,VTU,,VTU,ALVAN 2 CONNECT POINT,₦ 1.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,0.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,121266,VTU,,VTU,OKIGWE HUB,₦ 1.000 View group prices,"2,683,500.0 UNIT(S)","₦ 2,589,577.500","₦ 2,683,500.000","₦ 93,922.500","14,009,300.0 UNIT(S)","1,150,000.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,121266,VTU,,VTU,ESUT CONNECT POINT,₦ 1.000 View group prices,"33,600.0 UNIT(S)","₦ 32,424.000","₦ 33,600.000","₦ 1,176.000","1,699,600.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,121964,ITEL A18,,PHONES,AWKA CONNECT / LITE,"₦ 28,500.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,8.0 UNIT(S),1.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,121964,ITEL A18,,PHONES,UNIZIK 2,"₦ 28,500.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,135860,Tecno 467,,PHONES,IMSU CONNECT POINT,"₦ 33,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,135860,Tecno 467,,PHONES,AWKA CONNECT / LITE,"₦ 33,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,8.0 UNIT(S),1.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,173585,ITEL 2166,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 15,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,60.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,173585,ITEL 2166,,PHONES,AWKA CONNECT / LITE,"₦ 15,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,36.0 UNIT(S),6.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,173585,ITEL 2166,,PHONES,IMSU CONNECT POINT,"₦ 15,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,2.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,173585,ITEL 2166,,PHONES,ULAKWO CONNECT POINT,"₦ 15,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,2.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,173585,ITEL 2166,,PHONES,UNIZIK 1,"₦ 15,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,173585,ITEL 2166,,PHONES,IMT CONNECT LITE,"₦ 15,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,173590,ITEL A70,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 89,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,2.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,176505,INFINIX SMART8 (1/64),,PHONES,AWKA CONNECT / LITE,"₦ 120,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,3.0 UNIT(S),1.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,176505,INFINIX SMART8 (1/64),,PHONES,UNIZIK 1,"₦ 120,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,176506,INFINIX SMART8 (4/128),,PHONES,AWKA CONNECT / LITE,"₦ 132,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,1.0 UNIT(S),1.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,176506,INFINIX SMART8 (4/128),,PHONES,UNIZIK 1,"₦ 132,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,179467,ITEL 2176,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 16,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,30.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,179467,ITEL 2176,,PHONES,AWKA CONNECT / LITE,"₦ 16,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,8.0 UNIT(S),2.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,179467,ITEL 2176,,PHONES,OKIGWE HUB,"₦ 16,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,2.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,179468,ITEL 5609,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 20,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,5.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,209588,TECNO 352,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 16,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,15.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,209588,TECNO 352,,PHONES,AWKA CONNECT / LITE,"₦ 16,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,5.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,209592,ITEL 2311,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 15,500.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,5.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,240860,EYESYTE BATTERY CAMERA,,ACCESSORIES,HEAD OFFICE,₦ 0.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,0.0 UNIT(S),1.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,240860,EYESYTE BATTERY CAMERA,,ACCESSORIES,EBU AWKA,₦ 0.000 View group prices,1.0 UNIT(S),"₦ 72,558.140",₦ 0.000,"₦ -72,558.140",0.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,241673,ITEL 2165,,PHONES,AWKA CONNECT / LITE,"₦ 12,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,14.0 UNIT(S),6.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,241673,ITEL 2165,,PHONES,IMSU CONNECT POINT,"₦ 12,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,2.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,241673,ITEL 2165,,PHONES,IMT CONNECT LITE,"₦ 12,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,2.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,241673,ITEL 2165,,PHONES,ULAKWO CONNECT POINT,"₦ 12,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,2.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,241673,ITEL 2165,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 12,000.000 View group prices",9.0 UNIT(S),"₦ 94,500.000","₦ 108,000.000","₦ 13,500.000",11.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,241675,INFINIX SMART 9(3/128),,PHONES,AWKA CONNECT / LITE,"₦ 140,000.000 View group prices",1.0 UNIT(S),"₦ 140,900.000","₦ 140,000.000",₦ -900.000,1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,245322,ITEL 5082,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 22,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,5.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,245323,TECNO 302,,PHONES,OWERRI 2 CONNECT / LITE,"₦ 20,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,14.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,245323,TECNO 302,,PHONES,IMSU CONNECT POINT,"₦ 20,000.000 View group prices",2.0 UNIT(S),"₦ 35,400.000","₦ 40,000.000","₦ 4,600.000",0.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,245323,TECNO 302,,PHONES,AWKA CONNECT / LITE,"₦ 20,000.000 View group prices",2.0 UNIT(S),"₦ 32,400.000","₦ 40,000.000","₦ 7,600.000",28.0 UNIT(S),5.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,245323,TECNO 302,,PHONES,IMT CONNECT LITE,"₦ 20,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,3.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,247200,TECNO SPARK 30C(4/128GB),,PHONES,AWKA CONNECT / LITE,"₦ 158,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,247201,INFINIX HOT 50i (4/128gb),,PHONES,AWKA CONNECT / LITE,"₦ 158,000.000 View group prices",2.0 UNIT(S),"₦ 303,300.000","₦ 316,000.000","₦ 12,700.000",1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,ALVAN 1 CONNECT POINT,₦ 100.000 View group prices,187.5 UNIT(S),"₦ 18,748.550","₦ 18,750.000",₦ 1.450,"9,839.0 UNIT(S)",873.5 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,IGWURUTA CONNECT POINT,₦ 100.000 View group prices,506.0 UNIT(S),"₦ 50,600.000","₦ 50,600.000",₦ 0.000,"4,494.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,ELELE CONNECT POINT,₦ 100.000 View group prices,"1,770.0 UNIT(S)","₦ 177,000.000","₦ 177,000.000",₦ 0.000,"6,230.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,ALVAN 2 CONNECT POINT,₦ 100.000 View group prices,185.0 UNIT(S),"₦ 18,501.450","₦ 18,500.000",₦ -1.450,"2,618.5 UNIT(S)",270.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,OKIGWE CONNECT POINT,₦ 100.000 View group prices,495.0 UNIT(S),"₦ 49,500.000","₦ 49,500.000",₦ 0.000,"2,705.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,MBAITOLI CONNECT POINT,₦ 100.000 View group prices,386.0 UNIT(S),"₦ 38,600.000","₦ 38,600.000",₦ 0.000,"10,114.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,OKIGWE HUB,₦ 100.000 View group prices,778.0 UNIT(S),"₦ 77,800.000","₦ 77,800.000",₦ 0.000,"9,223.5 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,IHIALA  CONNECT POINT,₦ 100.000 View group prices,"1,856.0 UNIT(S)","₦ 185,600.000","₦ 185,600.000",₦ 0.000,"8,441.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,IGBARIAM CONNECT POINT,₦ 100.000 View group prices,315.5 UNIT(S),"₦ 31,550.000","₦ 31,550.000",₦ 0.000,"1,684.5 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,EBU AWKA,₦ 100.000 View group prices,"1,500.0 UNIT(S)","₦ 150,000.000","₦ 150,000.000",₦ 0.000,"26,004.5 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,ULI CONNECT POINT,₦ 100.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,"2,703.0 UNIT(S)",297.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,OWERRI 2 CONNECT / LITE,₦ 100.000 View group prices,"5,236.0 UNIT(S)","₦ 523,600.000","₦ 523,600.000",₦ 0.000,"45,391.5 UNIT(S)","2,900.0 UNIT(S)",0.0 UNIT(S),,,,
