Action,SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
Product stock history,LOGICAL 100,N100,,LOGICALS,OKIGWE HUB,₦ 100.000 View group prices,"1,280.0 UNIT(S)","₦ 123,516.160","₦ 128,000.000","₦ 4,483.840","10,220.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,AWKA CONNECT / LITE,₦ 100.000 View group prices,"1,000.0 UNIT(S)","₦ 96,497.000","₦ 100,000.000","₦ 3,503.000","35,260.0 UNIT(S)","52,575.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,UMUAKA CONNECT POINT,₦ 100.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,"4,707.0 UNIT(S)",583.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,ALVAN 2 CONNECT POINT,₦ 100.000 View group prices,65.0 UNIT(S),"₦ 6,272.305","₦ 6,500.000",₦ 227.695,"6,275.0 UNIT(S)",750.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,OKO CONNECT POINT,₦ 100.000 View group prices,623.0 UNIT(S),"₦ 60,117.631","₦ 62,300.000","₦ 2,182.369","5,343.0 UNIT(S)",0.0 UNIT(S),7.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,STATE SEC CONNECT POINT,₦ 100.000 View group prices,817.0 UNIT(S),"₦ 78,837.098","₦ 81,700.000","₦ 2,862.902","15,038.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,OANDO CONNECT POINT,₦ 100.000 View group prices,618.0 UNIT(S),"₦ 59,635.092","₦ 61,800.000","₦ 2,164.908","9,733.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,ULI CONNECT POINT,₦ 100.000 View group prices,496.0 UNIT(S),"₦ 47,862.512","₦ 49,600.000","₦ 1,737.488","16,009.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,IHIALA  CONNECT POINT,₦ 100.000 View group prices,940.0 UNIT(S),"₦ 90,707.180","₦ 94,000.000","₦ 3,292.820","37,000.0 UNIT(S)",500.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,MBAITOLI CONNECT POINT,₦ 100.000 View group prices,778.0 UNIT(S),"₦ 75,074.666","₦ 77,800.000","₦ 2,725.334","25,108.0 UNIT(S)",200.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,ALVAN 1 CONNECT POINT,₦ 100.000 View group prices,493.0 UNIT(S),"₦ 48,248.500","₦ 49,300.000","₦ 1,051.500","14,160.0 UNIT(S)",600.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,UNIZIK 2,₦ 100.000 View group prices,69.0 UNIT(S),"₦ 6,654.814","₦ 6,900.000",₦ 245.186,"2,511.0 UNIT(S)",0.0 UNIT(S),-20.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,IGBARIAM CONNECT POINT,₦ 100.000 View group prices,853.0 UNIT(S),"₦ 82,311.042","₦ 85,300.000","₦ 2,988.958","5,219.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,AIRPORT CONNECT POINT,₦ 100.000 View group prices,"10,400.0 UNIT(S)","₦ 1,042,173.400","₦ 1,040,000.000","₦ -2,173.400","62,853.0 UNIT(S)","97,850.0 UNIT(S)",300.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,UMUAGWO CONNECT POINT,₦ 100.000 View group prices,"1,030.0 UNIT(S)","₦ 99,390.920","₦ 103,000.000","₦ 3,609.080","5,970.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,IGWURUTA CONNECT POINT,₦ 100.000 View group prices,"4,210.0 UNIT(S)","₦ 406,258.290","₦ 421,000.000","₦ 14,741.710","29,440.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,ELELE CONNECT POINT,₦ 100.000 View group prices,"1,550.0 UNIT(S)","₦ 149,571.900","₦ 155,000.000","₦ 5,428.100","27,500.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,IMSU CONNECT POINT,₦ 100.000 View group prices,570.0 UNIT(S),"₦ 55,003.290","₦ 57,000.000","₦ 1,996.710","12,085.0 UNIT(S)","1,550.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,ULAKWO CONNECT POINT,₦ 100.000 View group prices,390.0 UNIT(S),"₦ 37,633.830","₦ 39,000.000","₦ 1,366.170","9,081.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,NEKEDE CONNECT LITE,₦ 100.000 View group prices,433.0 UNIT(S),"₦ 41,782.802","₦ 43,300.000","₦ 1,517.198","14,760.0 UNIT(S)",650.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,ESUT CONNECT POINT,₦ 100.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,"5,030.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,IMT CONNECT LITE,₦ 100.000 View group prices,32.0 UNIT(S),"₦ 3,087.936","₦ 3,200.000",₦ 112.064,"11,588.0 UNIT(S)",100.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,OKIGWE CONNECT POINT,₦ 100.000 View group prices,"1,490.0 UNIT(S)","₦ 143,780.530","₦ 149,000.000","₦ 5,219.470","14,880.0 UNIT(S)",700.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 100,N100,,LOGICALS,UNIZIK 1,₦ 100.000 View group prices,408.0 UNIT(S),"₦ 39,370.776","₦ 40,800.000","₦ 1,429.224","3,345.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,ALVAN 1 CONNECT POINT,"₦ 1,000.000 View group prices",102.0 UNIT(S),"₦ 105,184.564","₦ 102,000.000","₦ -3,184.564","2,865.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,IHIALA  CONNECT POINT,"₦ 1,000.000 View group prices",254.0 UNIT(S),"₦ 245,106.676","₦ 254,000.000","₦ 8,893.324","1,887.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,MBAITOLI CONNECT POINT,"₦ 1,000.000 View group prices",227.0 UNIT(S),"₦ 219,054.092","₦ 227,000.000","₦ 7,945.908","4,557.0 UNIT(S)",250.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,ULI CONNECT POINT,"₦ 1,000.000 View group prices",87.0 UNIT(S),"₦ 83,954.652","₦ 87,000.000","₦ 3,045.348","1,037.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,OANDO CONNECT POINT,"₦ 1,000.000 View group prices",90.0 UNIT(S),"₦ 86,849.640","₦ 90,000.000","₦ 3,150.360","1,658.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,STATE SEC CONNECT POINT,"₦ 1,000.000 View group prices",172.0 UNIT(S),"₦ 165,979.312","₦ 172,000.000","₦ 6,020.688","2,846.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,OKO CONNECT POINT,"₦ 1,000.000 View group prices",32.0 UNIT(S),"₦ 30,879.808","₦ 32,000.000","₦ 1,120.192","1,716.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,ALVAN 2 CONNECT POINT,"₦ 1,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,"1,333.0 UNIT(S)",570.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,UMUAKA CONNECT POINT,"₦ 1,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,353.0 UNIT(S),139.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,AWKA CONNECT / LITE,"₦ 1,000.000 View group prices",600.0 UNIT(S),"₦ 578,995.965","₦ 600,000.000","₦ 21,004.035","11,340.0 UNIT(S)","19,030.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,IGWURUTA CONNECT POINT,"₦ 1,000.000 View group prices",167.0 UNIT(S),"₦ 161,154.499","₦ 167,000.000","₦ 5,845.501",273.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,OKIGWE HUB,"₦ 1,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,650.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,OWERRI 2 CONNECT / LITE,"₦ 1,000.000 View group prices","2,845.0 UNIT(S)","₦ 2,745,416.465","₦ 2,845,000.000","₦ 99,583.535","21,155.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,UMUAGWO CONNECT POINT,"₦ 1,000.000 View group prices",200.0 UNIT(S),"₦ 192,999.200","₦ 200,000.000","₦ 7,000.800",790.0 UNIT(S),50.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,IGBARIAM CONNECT POINT,"₦ 1,000.000 View group prices",105.0 UNIT(S),"₦ 101,324.630","₦ 105,000.000","₦ 3,675.370",997.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,ALAKAHIA CONNECT / LITE,"₦ 1,000.000 View group prices","2,000.0 UNIT(S)","₦ 1,957,992.310","₦ 2,000,000.000","₦ 42,007.690","19,782.0 UNIT(S)","1,840.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,ONITSHA 2 CONNECT LITE,"₦ 1,000.000 View group prices",873.0 UNIT(S),"₦ 842,441.508","₦ 873,000.000","₦ 30,558.492","21,023.0 UNIT(S)","8,020.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,AIRPORT CONNECT POINT,"₦ 1,000.000 View group prices","1,700.0 UNIT(S)","₦ 1,640,489.500","₦ 1,700,000.000","₦ 59,510.500","1,507.0 UNIT(S)","12,587.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,ELELE CONNECT POINT,"₦ 1,000.000 View group prices",167.0 UNIT(S),"₦ 161,154.499","₦ 167,000.000","₦ 5,845.501",188.0 UNIT(S),800.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,IMSU CONNECT POINT,"₦ 1,000.000 View group prices",201.0 UNIT(S),"₦ 193,964.394","₦ 201,000.000","₦ 7,035.606","4,881.0 UNIT(S)",200.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,ULAKWO CONNECT POINT,"₦ 1,000.000 View group prices",135.0 UNIT(S),"₦ 130,274.595","₦ 135,000.000","₦ 4,725.405","1,820.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,NEKEDE CONNECT LITE,"₦ 1,000.000 View group prices",158.0 UNIT(S),"₦ 152,469.526","₦ 158,000.000","₦ 5,530.474","3,625.0 UNIT(S)",100.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,ESUT CONNECT POINT,"₦ 1,000.000 View group prices",38.0 UNIT(S),"₦ 36,669.468","₦ 38,000.000","₦ 1,330.532",555.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,IMT CONNECT LITE,"₦ 1,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,"1,714.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,OKIGWE CONNECT POINT,"₦ 1,000.000 View group prices",149.0 UNIT(S),"₦ 143,784.553","₦ 149,000.000","₦ 5,215.447","2,360.0 UNIT(S)",300.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,UNIZIK 1,"₦ 1,000.000 View group prices",128.0 UNIT(S),"₦ 123,519.616","₦ 128,000.000","₦ 4,480.384","2,337.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1000,N1000,,LOGICALS,UNIZIK 2,"₦ 1,000.000 View group prices",35.0 UNIT(S),"₦ 33,774.755","₦ 35,000.000","₦ 1,225.245","2,010.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 1500,N1500,,LOGICALS,,"₦ 1,500.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,0.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,UNIZIK 2,₦ 200.000 View group prices,185.0 UNIT(S),"₦ 35,705.740","₦ 37,000.000","₦ 1,294.260","4,713.0 UNIT(S)",200.0 UNIT(S),-40.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,IGBARIAM CONNECT POINT,₦ 200.000 View group prices,440.0 UNIT(S),"₦ 84,921.760","₦ 88,000.000","₦ 3,078.240","7,287.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,ALVAN 1 CONNECT POINT,₦ 200.000 View group prices,893.0 UNIT(S),"₦ 175,440.636","₦ 178,600.000","₦ 3,159.364","17,944.0 UNIT(S)",800.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,MBAITOLI CONNECT POINT,₦ 200.000 View group prices,989.0 UNIT(S),"₦ 190,880.956","₦ 197,800.000","₦ 6,919.044","22,924.0 UNIT(S)",650.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,IHIALA  CONNECT POINT,₦ 200.000 View group prices,"1,507.0 UNIT(S)","₦ 290,857.028","₦ 301,400.000","₦ 10,542.972","25,516.0 UNIT(S)",500.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,ULI CONNECT POINT,₦ 200.000 View group prices,346.0 UNIT(S),"₦ 66,779.384","₦ 69,200.000","₦ 2,420.616","12,159.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,ELELE CONNECT POINT,₦ 200.000 View group prices,800.0 UNIT(S),"₦ 154,403.200","₦ 160,000.000","₦ 5,596.800","22,100.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,OANDO CONNECT POINT,₦ 200.000 View group prices,495.0 UNIT(S),"₦ 95,536.980","₦ 99,000.000","₦ 3,463.020","10,541.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,STATE SEC CONNECT POINT,₦ 200.000 View group prices,992.0 UNIT(S),"₦ 191,459.968","₦ 198,400.000","₦ 6,940.032","15,931.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,OKO CONNECT POINT,₦ 200.000 View group prices,967.0 UNIT(S),"₦ 186,634.868","₦ 193,400.000","₦ 6,765.132","9,109.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,ALVAN 2 CONNECT POINT,₦ 200.000 View group prices,54.0 UNIT(S),"₦ 10,422.216","₦ 10,800.000",₦ 377.784,"6,617.0 UNIT(S)","1,215.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,UMUAKA CONNECT POINT,₦ 200.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,"3,590.0 UNIT(S)",330.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,AWKA CONNECT / LITE,₦ 200.000 View group prices,"5,100.0 UNIT(S)","₦ 984,320.400","₦ 1,020,000.000","₦ 35,679.600","33,125.0 UNIT(S)","78,675.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,OKIGWE HUB,₦ 200.000 View group prices,"1,080.0 UNIT(S)","₦ 208,444.320","₦ 216,000.000","₦ 7,555.680","8,620.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,UNIZIK 1,₦ 200.000 View group prices,428.0 UNIT(S),"₦ 82,608.280","₦ 85,600.000","₦ 2,991.720","6,882.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,OKIGWE CONNECT POINT,₦ 200.000 View group prices,683.0 UNIT(S),"₦ 131,821.732","₦ 136,600.000","₦ 4,778.268","16,475.0 UNIT(S)","1,300.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,IMT CONNECT LITE,₦ 200.000 View group prices,164.0 UNIT(S),"₦ 31,652.656","₦ 32,800.000","₦ 1,147.344","11,198.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,ESUT CONNECT POINT,₦ 200.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,"5,247.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,NEKEDE CONNECT LITE,₦ 200.000 View group prices,690.0 UNIT(S),"₦ 133,172.760","₦ 138,000.000","₦ 4,827.240","13,196.0 UNIT(S)","1,300.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,ULAKWO CONNECT POINT,₦ 200.000 View group prices,400.0 UNIT(S),"₦ 77,201.600","₦ 80,000.000","₦ 2,798.400","9,867.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,IMSU CONNECT POINT,₦ 200.000 View group prices,580.0 UNIT(S),"₦ 111,942.320","₦ 116,000.000","₦ 4,057.680","15,463.0 UNIT(S)",470.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,IGWURUTA CONNECT POINT,₦ 200.000 View group prices,"2,042.0 UNIT(S)","₦ 394,113.000","₦ 408,400.000","₦ 14,287.000","20,758.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,UMUAGWO CONNECT POINT,₦ 200.000 View group prices,"1,477.0 UNIT(S)","₦ 285,070.070","₦ 295,400.000","₦ 10,329.930","4,528.0 UNIT(S)",200.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,OWERRI 2 CONNECT / LITE,₦ 200.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,60.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,AIRPORT CONNECT POINT,₦ 200.000 View group prices,"18,150.0 UNIT(S)","₦ 3,503,041.500","₦ 3,630,000.000","₦ 126,958.500","21,161.0 UNIT(S)","75,700.0 UNIT(S)",147.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,ONITSHA 2 CONNECT LITE,₦ 200.000 View group prices,"3,325.0 UNIT(S)","₦ 641,738.300","₦ 665,000.000","₦ 23,261.700","172,873.0 UNIT(S)","64,740.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 200,N200,,LOGICALS,ALAKAHIA CONNECT / LITE,₦ 200.000 View group prices,"22,000.0 UNIT(S)","₦ 4,246,145.480","₦ 4,400,000.000","₦ 153,854.520","264,985.0 UNIT(S)","53,100.0 UNIT(S)","1,600.0 UNIT(S)",,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,AWKA CONNECT / LITE,₦ 500.000 View group prices,"3,000.0 UNIT(S)","₦ 1,447,512.000","₦ 1,500,000.000","₦ 52,488.000","77,850.0 UNIT(S)","55,250.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,OKIGWE HUB,₦ 500.000 View group prices,695.0 UNIT(S),"₦ 335,340.280","₦ 347,500.000","₦ 12,159.720","2,855.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,OKO CONNECT POINT,₦ 500.000 View group prices,135.0 UNIT(S),"₦ 65,138.040","₦ 67,500.000","₦ 2,361.960","3,885.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,UMUAKA CONNECT POINT,₦ 500.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,"1,410.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,ALVAN 2 CONNECT POINT,₦ 500.000 View group prices,45.0 UNIT(S),"₦ 21,712.680","₦ 22,500.000",₦ 787.320,"3,512.0 UNIT(S)",790.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,STATE SEC CONNECT POINT,₦ 500.000 View group prices,812.0 UNIT(S),"₦ 391,793.248","₦ 406,000.000","₦ 14,206.752","6,266.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,OANDO CONNECT POINT,₦ 500.000 View group prices,60.0 UNIT(S),"₦ 28,950.240","₦ 30,000.000","₦ 1,049.760","5,903.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,ULI CONNECT POINT,₦ 500.000 View group prices,103.0 UNIT(S),"₦ 49,697.912","₦ 51,500.000","₦ 1,802.088","5,201.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,IHIALA  CONNECT POINT,₦ 500.000 View group prices,"1,114.0 UNIT(S)","₦ 537,509.000","₦ 557,000.000","₦ 19,491.000","7,675.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,MBAITOLI CONNECT POINT,₦ 500.000 View group prices,340.0 UNIT(S),"₦ 164,051.360","₦ 170,000.000","₦ 5,948.640","8,630.0 UNIT(S)",200.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,ALVAN 1 CONNECT POINT,₦ 500.000 View group prices,360.0 UNIT(S),"₦ 178,043.976","₦ 180,000.000","₦ 1,956.024","8,941.0 UNIT(S)",10.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,IGBARIAM CONNECT POINT,₦ 500.000 View group prices,510.0 UNIT(S),"₦ 246,077.040","₦ 255,000.000","₦ 8,922.960","4,043.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,UNIZIK 2,₦ 500.000 View group prices,50.0 UNIT(S),"₦ 24,125.000","₦ 25,000.000",₦ 875.000,"2,964.0 UNIT(S)",500.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,UNIZIK 1,₦ 500.000 View group prices,278.0 UNIT(S),"₦ 134,136.112","₦ 139,000.000","₦ 4,863.888","5,628.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,OKIGWE CONNECT POINT,₦ 500.000 View group prices,220.0 UNIT(S),"₦ 106,150.880","₦ 110,000.000","₦ 3,849.120","7,810.0 UNIT(S)",550.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,IMT CONNECT LITE,₦ 500.000 View group prices,99.0 UNIT(S),"₦ 47,767.896","₦ 49,500.000","₦ 1,732.104","10,090.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,ESUT CONNECT POINT,₦ 500.000 View group prices,51.0 UNIT(S),"₦ 24,659.214","₦ 25,500.000",₦ 840.786,"1,761.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,NEKEDE CONNECT LITE,₦ 500.000 View group prices,501.0 UNIT(S),"₦ 241,734.503","₦ 250,500.000","₦ 8,765.497","6,884.0 UNIT(S)",550.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,ULAKWO CONNECT POINT,₦ 500.000 View group prices,245.0 UNIT(S),"₦ 118,213.480","₦ 122,500.000","₦ 4,286.520","5,499.0 UNIT(S)",300.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,IMSU CONNECT POINT,₦ 500.000 View group prices,276.0 UNIT(S),"₦ 133,171.104","₦ 138,000.000","₦ 4,828.896","11,904.0 UNIT(S)",800.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,ELELE CONNECT POINT,₦ 500.000 View group prices,390.0 UNIT(S),"₦ 188,176.560","₦ 195,000.000","₦ 6,823.440","2,010.0 UNIT(S)",500.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,LOGICAL 500,N500,,LOGICALS,IGWURUTA CONNECT POINT,₦ 500.000 View group prices,447.0 UNIT(S),"₦ 215,677.900","₦ 223,500.000","₦ 7,822.100","3,337.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
