SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
120470,MTN HYNET CAT 4,,ACCESSORIES,UNIZIK 1,20000.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,HEAD OFFICE,20000.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,IHIALA  ,20000.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,IMT ,20000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,ULAKWO ,20000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,ELELE ,20000.0,1.0,17999.999,20000.0,2000.001,9.0,0.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,STATE SEC ,20000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,ALAKAHIA ,20000.0,29.0,629999.959,580000.0,49999.959,455.0,93.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,AWKA ,20000.0,6.0,107999.994,120000.0,12000.006,295.0,18.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,AIRPORT ,20000.0,8.0,143999.992,160000.0,16000.008,108.0,19.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,OWERRI 2 ,20000.0,5.0,89999.995,100000.0,10000.005,461.0,3.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,OKIGWE HUB,20000.0,0.0,0.0,0.0,0.0,39.0,15.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,IGWURUTA ,20000.0,4.0,71999.996,80000.0,8000.004,9.0,1.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,NEKEDE ,20000.0,2.0,35999.998,40000.0,4000.002,4.0,1.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,ALVAN 1 ,20000.0,4.0,71999.996,80000.0,8000.004,7.0,0.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,MBAITOLI ,20000.0,3.0,53999.997,60000.0,6000.003,10.0,0.0,0.0,,,,
120470,MTN HYNET CAT 4,,ACCESSORIES,ALVAN 2 ,20000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120473,EYESYTE PTZ CAMERA,,ACCESSORIES,EBU AWKA,25000.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,
120473,EYESYTE PTZ CAMERA,,ACCESSORIES,HEAD OFFICE,25000.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,
120474,EYESYTE BATTERY CAMERA,,ACCESSORIES,EBU AWKA,78000.0,1.0,72558.14,78000.0,5441.86,0.0,0.0,0.0,,,,
120475,EYESYTE DOORBELL CAMERA,,ACCESSORIES,,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
120476,MTN CAR TRACKER,,ACCESSORIES,,55500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
120478,EYESYTE ALARM GATEWAY SYSTEM,,ACCESSORIES,,57500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
120479,EYESYTE SURVEILLANCE CAMERS (WITH SOLAR ),,ACCESSORIES,HEAD OFFICE,195500.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,
120479,EYESYTE SURVEILLANCE CAMERS (WITH SOLAR ),,ACCESSORIES,EBU AWKA,195500.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,
120480,EYESYTE SURVEILLANCE CAMERS (WITHOUT SOLAR),,ACCESSORIES,,172000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
120961,TECNO POVA NEO (4/64GB),,PHONES,ALAKAHIA ,91500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120964,TECNO SPARK 8C (3/64GB),,PHONES,AWKA ,70000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
120965,TECNO POP 6 GO,,PHONES,AWKA ,54000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120968,TECNO SPARK 8P (4/128GB),,PHONES,AWKA ,85000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
120970,TECNO 101,,PHONES,AIRPORT ,17000.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,,,,
120970,TECNO 101,,PHONES,ALAKAHIA ,17000.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,
120970,TECNO 101,,PHONES,ULAKWO ,17000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120970,TECNO 101,,PHONES,IMT ,17000.0,1.0,14500.0,17000.0,2500.0,13.0,0.0,0.0,,,,
120970,TECNO 101,,PHONES,OWERRI 2 ,17000.0,5.0,72500.0,85000.0,12500.0,95.0,0.0,0.0,,,,
120970,TECNO 101,,PHONES,AWKA ,17000.0,17.0,246500.0,289000.0,42500.0,46.0,36.0,1.0,,,,
120970,TECNO 101,,PHONES,IMSU ,17000.0,2.0,29000.0,34000.0,5000.0,15.0,0.0,0.0,,,,
120970,TECNO 101,,PHONES,ESUT ,17000.0,2.0,12000.0,34000.0,22000.0,0.0,0.0,0.0,,,,
120970,TECNO 101,,PHONES,OKIGWE HUB,17000.0,4.0,58000.0,68000.0,10000.0,3.0,0.0,0.0,,,,
120972,MOTTO C PLUS,,,AIRPORT ,24500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
120973,INFINIX HOT 12 PLAY,,PHONES,OWERRI 2 ,110000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120974,ITEL 2070,,PHONES,ESUT ,5000.0,1.0,4000.0,5000.0,1000.0,0.0,0.0,0.0,,,,
120976,TECNO SPARK 5,,PHONES,ALAKAHIA ,67500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
121055,Tecno 352,,PHONES,AWKA ,12000.0,5.0,91000.0,60000.0,31000.0,14.0,1.0,0.0,,,,
121055,Tecno 352,,PHONES,IMSU ,12000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
121223,RACHAEL MO-MO,,,OWERRI 2 ,1.0,843389.6,843389.6,843389.6,0.0,0.0,0.0,0.0,,,,
121266,VTU,,VTU,IGBARIAM ,1.0,0.0,0.0,0.0,0.0,781100.0,0.0,0.0,,,,
121266,VTU,,VTU,ONITSHA 2 ,1.0,2747932.0,2651754.38,2747932.0,96177.62,5683950.0,11050000.0,0.0,,,,
121266,VTU,,VTU,ALVAN 1 ,1.0,0.0,0.0,0.0,0.0,799200.0,0.0,0.0,,,,
121266,VTU,,VTU,MBAITOLI ,1.0,50000.0,48250.0,50000.0,1750.0,804000.0,0.0,0.0,,,,
121266,VTU,,VTU,IHIALA  ,1.0,0.0,0.0,0.0,0.0,448200.0,0.0,0.0,,,,
121266,VTU,,VTU,ULI ,1.0,14400.0,13896.0,14400.0,504.0,388100.0,0.0,0.0,,,,
121266,VTU,,VTU,OANDO ,1.0,42200.0,40723.0,42200.0,1477.0,306700.0,0.0,0.0,,,,
121266,VTU,,VTU,STATE SEC ,1.0,6000.0,5790.0,6000.0,210.0,947200.0,0.0,0.0,,,,
121266,VTU,,VTU,ASABA INPLANT,1.0,0.0,0.0,0.0,0.0,7116000.0,34000.0,0.0,,,,
121266,VTU,,VTU,IGWURUTA ,1.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,,,,
121266,VTU,,VTU,OKIGWE ,1.0,49650.0,47912.25,49650.0,1737.75,510350.0,0.0,0.0,,,,
